"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","22u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2,C8,C9","3","0.1u","","","","Capacitor_SMD:C_0402_1005Metric",""
"C3,C4,C6,C7","4","4.7u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5","1","10u","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","PESD5V0L1ULD","","","","Diode_SMD:D_SOD-882D","""https://assets.nexperia.com/documents/data-sheet/PESD5V0L1ULD.pdf"
"D2,D3,D4","3","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder",""
"D5,D6","2","Green LED","","","","LED_SMD:LED_0402_1005Metric",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Barrel_Jack_Switch_Pin3Ring","","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"J3,J6","2","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"J4","1","SD_Card_Device","","","","Connector_Card:SD_Hirose_DM1AA_SF_PEJ82","http://www.convict.lu/pdf/ProdManualSDCardv1.9.pdf"
"J5","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"R1","1","0","","","","Resistor_SMD:R_0805_2012Metric",""
"R2,R3,R5,R7","4","5.1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R4,R6,R8,R11","4","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"R9","1","100k","","","","Resistor_SMD:R_0805_2012Metric",""
"R10,R12,R13,R15,R16","5","2k","","","","Resistor_SMD:R_0402_1005Metric",""
"R14","1","47k","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3U-1000P",""
"SW3","1","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_PTS125Sx43SMTR",""
"U1","1","USBLC6-2P6","","","","Package_TO_SOT_SMD:SOT-666","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U2","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U3","1","AMS1117-5.0","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U5","1","DHT11","","","","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf"
"U6","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
